tanggal,kode_kelurahan,wilayah_kota,kecamatan,kelurahan,penerima_vaksinasi,vaksin_dosis_1,vaksin_dosis_2,jumlah_vaksin
7/4/2021,3171041001,JAKARTA PUSAT,SENEN,SENEN,TENAGA KESEHATAN,124,110,234
7/4/2021,3171031004,JAKARTA PUSAT,KEMAYORAN,SERDANG,TENAGA KESEHATAN,266,240,506
7/4/2021,3171031007,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,TENAGA KESEHATAN,254,228,482
7/4/2021,3171081004,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,TENAGA KESEHATAN,198,178,376
7/4/2021,3171031008,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,TENAGA KESEHATAN,167,152,319
7/5/2021,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,TENAGA KESEHATAN,251,217,468
7/5/2021,3171041006,JAKARTA PUSAT,SENEN,BUNGUR,TENAGA KESEHATAN,134,123,257
7/5/2021,3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,TENAGA KESEHATAN,275,231,506
7/5/2021,3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,TENAGA KESEHATAN,334,300,634
7/5/2021,3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,TENAGA KESEHATAN,352,324,676
7/5/2021,3171011002,JAKARTA PUSAT,GAMBIR,CIDENG,TENAGA KESEHATAN,161,138,299
7/5/2021,3171061003,JAKARTA PUSAT,MENTENG,CIKINI,TENAGA KESEHATAN,113,99,212
7/5/2021,3171011006,JAKARTA PUSAT,GAMBIR,DURI PULO,TENAGA KESEHATAN,87,71,158
7/5/2021,3171081003,JAKARTA PUSAT,JOHAR BARU,GALUR,TENAGA KESEHATAN,104,87,191
7/5/2021,3171011001,JAKARTA PUSAT,GAMBIR,GAMBIR,TENAGA KESEHATAN,17,15,32
7/5/2021,3171071001,JAKARTA PUSAT,TANAH ABANG,GELORA,TENAGA KESEHATAN,37,34,71
7/5/2021,3171061004,JAKARTA PUSAT,MENTENG,GONDANGDIA,TENAGA KESEHATAN,115,105,220
7/5/2021,3171031005,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,TENAGA KESEHATAN,124,114,238
7/5/2021,3171021004,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,TENAGA KESEHATAN,95,82,177
7/5/2021,3171031003,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,TENAGA KESEHATAN,182,162,344
7/5/2021,3171081001,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,TENAGA KESEHATAN,361,318,679
7/5/2021,3171071007,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,TENAGA KESEHATAN,53,49,102
7/5/2021,3171081002,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,TENAGA KESEHATAN,147,133,280
7/5/2021,3171021002,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,TENAGA KESEHATAN,127,115,242
7/5/2021,3171071003,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,TENAGA KESEHATAN,138,121,259
7/5/2021,3171021003,JAKARTA PUSAT,SAWAH BESAR,KARTINI,TENAGA KESEHATAN,100,93,193
7/5/2021,3171071006,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,TENAGA KESEHATAN,121,104,225
7/5/2021,3171011005,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,TENAGA KESEHATAN,57,53,110
7/5/2021,3171031002,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,TENAGA KESEHATAN,179,159,338
7/5/2021,3171071005,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,TENAGA KESEHATAN,134,117,251
7/5/2021,3171061005,JAKARTA PUSAT,MENTENG,KEBON SIRIH,TENAGA KESEHATAN,61,56,117
7/5/2021,3171031001,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,TENAGA KESEHATAN,90,75,165
7/5/2021,3171041002,JAKARTA PUSAT,SENEN,KENARI,TENAGA KESEHATAN,153,133,286
7/5/2021,3171041004,JAKARTA PUSAT,SENEN,KRAMAT,TENAGA KESEHATAN,199,170,369
7/5/2021,3171041005,JAKARTA PUSAT,SENEN,KWITANG,TENAGA KESEHATAN,94,80,174
7/5/2021,3171021005,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,TENAGA KESEHATAN,140,128,268
7/5/2021,3171061001,JAKARTA PUSAT,MENTENG,MENTENG,TENAGA KESEHATAN,257,230,487
7/5/2021,3171021001,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,TENAGA KESEHATAN,65,57,122
7/5/2021,3171041003,JAKARTA PUSAT,SENEN,PASEBAN,TENAGA KESEHATAN,388,342,730
7/5/2021,3171061002,JAKARTA PUSAT,MENTENG,PEGANGSAAN,TENAGA KESEHATAN,208,187,395
7/5/2021,3171071004,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,TENAGA KESEHATAN,169,141,310
7/5/2021,3171011004,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,TENAGA KESEHATAN,313,282,595
7/5/2021,3171011003,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,TENAGA KESEHATAN,83,76,159
7/5/2021,3171051003,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,TENAGA KESEHATAN,312,274,586
7/5/2021,3171041001,JAKARTA PUSAT,SENEN,SENEN,TENAGA KESEHATAN,124,110,234
7/5/2021,3171031004,JAKARTA PUSAT,KEMAYORAN,SERDANG,TENAGA KESEHATAN,266,240,506
7/5/2021,3171031007,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,TENAGA KESEHATAN,254,228,482
7/5/2021,3171081004,JAKARTA PUSAT,JOHAR BARU,TANAH TINGGI,TENAGA KESEHATAN,198,178,376
7/5/2021,3171031008,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,TENAGA KESEHATAN,167,152,319
7/6/2021,3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,TENAGA KESEHATAN,251,217,468
7/6/2021,3171041006,JAKARTA PUSAT,SENEN,BUNGUR,TENAGA KESEHATAN,134,123,257
7/6/2021,3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,TENAGA KESEHATAN,275,231,506
7/6/2021,3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,TENAGA KESEHATAN,335,302,637
